⺀⺀	丶 丶
𥑶	石 ⽾
𥑷	石 曰 人
𥑸	石 舟
𥑹	石 大 二 ㄅ
𥑺	石 䒑 {㪿三}
𥑻	石 𠂒 儿
𥑼	亻 戈 石
𥑽	石 ⺁ 巴
𥑾	石 十 廾
𥑿	石 𠂇 ⺝
𥒀	石 氵 一 𬺰
𥒁	石 {州三点} 川
𥒂	石 歹 刂
𥒃	石 士 也
𥒄	石 米
𥒅	石 一 口 {丈无一}
𥒆	石 䒑 大
𥒇	石 宀 女
𥒈	石 宀 丿 七
𥒉	石 羽
𥒊	石 夕 口
𥒋	石 缶
𥒌	石 丿 皿
𥒍	石 ⺈ 巴
𥒎	石 二 戈
𥒏	石 曰 人
𥒐	土 土 石
𥒑	石 一 生
𥒒	石 𠂇 丨 土
𥒓	石 至
𥒔	石 止 廴
𥒕	石 自
𥒖	石 ⺁ 一 口
𥒗	石 爫 厶
𥒘	石 勹 日
𥒙	石 犭 勹 丶
𥒚	石 勹 㐅 凵
𥒛	石 刀 {云变}
𥒜	石 冫 水
𥒝	石 {弃字头} 儿
𥒞	石 羊
𥒟	氵 巳 石
𥒠	{𥁞字头} 石
𥒡	石 乛 水 一
𥒢	石 刀 刀 刀
𥒣	石 又 𠂇 厶
𥒤	石 巛 山
𥒥	石 夕 夕
𥒦	石 土 也
𥒧	石 又 龰
𥒨	石 人 ⺗
𥒩	石 丬 丨 {飞无折}
𥒪	石 宀 牛
𥒫	石 爫 子
𥒬	石 宀 木
𥒭	石 足
𥒮	石 尸 毛
𥒯	木 石 土
𥒰	石 甫
𥒱	石 一 廾 彡
𥒲	石 厶 矢
𥒳	宀 石 亠 几
𥒴	石 ⺿ 亾
𥒵	石 口 巴
𥒶	石 丿 糸
𥒷	石 {寿四} 阝
𥒸	石 一 氺 丶
𥒹	石 广 土 丶
𥒺	石 士 心
𥒻	石 口 刀 刂
𥒼	石 止 {步下}
𥒽	工 ㇈ {夫三} 石
𥒾	石 五 口
𥒿	石 止 一 {別字旁底}
𥓀	石 目 匕
𥓁	石 丿 {卥字底}
𥓂	石 亽 ヿ 口
𥓃	石 夂 木
𥓄	石 里
𥓅	石 口 丿 口
𥓆	石 又 石
𥓇	夕 止 石
𥓈	石 十 艹 十
𥓉	石 戊 𠃌
𥓊	木 斤 石
𥓋	石 臼 儿
𥓌	石 ⺷ 儿
𥓍	⺊ 一 小 又 石
𥓎	石 戶 犬
𥓏	石 {尹三} 氺
𥓐	石 一 {尹三} 龰
𥓑	石 㐅 木 刂
𥓒	石 ⺈ 臼
𥓓	石 田 丿 十
𥓔	石 禾 女
𥓕	石 爫 丿 士
𥓖	石 日 木
𥓗	石 厶 厶 厶 二
𥓘	石 日 勹 𰀪
𥓙	木 木 石
𥓚	石 虎
𥓛	石 一 戈 幺
𥓜	石 木 人 人
𥓝	石 木 日
𥓞	石 乛 氺 凵
𥓟	石 匚 口 巾
𥓠	石 一 口 冂 人
𥓡	石 尚
𥓢	石 止 龰
𥓣	石 日 冖 儿
𥓤	石 山 勹 巳
𥓥	石 日 曰
𥓦	石 臼 丨 𠃌
𥓧	牜 牛 石
𥓨	石 一 廾 手
𥓩	石 土 石
𥓪	石 土 八 土
𥓫	石 至 刂
𥓬	至 刂 石
𥓭	石 丿 㠯 十
𥓮	石 勹 缶
𥓯	石 亠 勹 方
𥓰	石 穴 弓
𥓱	石 巛 一 止
𥓲	石 巛 田
𥓳	石 彳 皮
𥓴	石 方 攵
𥓵	石 广 氏 丶
𥓶	石 夂 田
𥓷	石 广 {尹三} 人
𥓸	石 衤 彡
𥓹	石 廾 丿 夫
𥓺	予 丿 攵 石
𥓻	石 㐅 凵 儿 夂
𥓼	石 匚 コ 木
𥓽	石 止 匕 木
𥓾	石 千 臼
𥓿	石 𠂇 工 ⺼
𥔀	石 勹 言
𥔁	石 一 口 田
𥔂	石 忄 一 月 一
𥔃	石 戊 一 女
𥔄	石 臼 工
𥔅	石 田 人 {乔字底}
𥔆	石 囗 人 人 人
𥔇	石 大 夕 口
𥔈	石 厂 辛
𥔉	石 穴 人 又
𥔊	石 己 至
𥔋	石 日 皿
𥔌	石 匚 日 女
𥔍	石 禾 火
𥔎	石 {立无横} 可
𥔏	王 田 石
𥔐	石 大 丶 皿
𥔑	石 宀 火 又
𥔒	石 冖 二 儿 寸
𥔓	石 古 月
𥔔	石 尸 米
𥔕	石 石 灬
𥔖	石 覀 女
𥔗	石 山 而
𥔘	石 田 ⽱
𥔙	石 艹 夕 ⺋
𥔚	石 人 車
𥔛	石 爫 一 𠂇 又
𥔜	石 禾 日
𥔝	石 禾 日
𥔞	石 八 刀 皿
𥔟	石 白 木
𥔠	石 ⺁ {旅右下} 口
𥔡	石 禾 日
𥔢	石 {臼裂} 人
𥔣	石 ⺷ 女
𥔤	石 尸 龷 八
𥔥	石 巛 囗 夂
𥔦	石 不 皿
𥔧	石 千 里
𥔨	石 水 石
𥔩	石 欠 石
𥔪	石 厶 厶 厶 川
𥔫	石 木 龷
𥔬	石 韋
𥔭	石 ⺌ 貝
𥔮	石 虍 文
𥔯	石 囗 口 辶
𥔰	石 豸 勹 丶
𥔱	石 戶 羽
𥔲	石 {双口：吕吅} 二 ㄅ
𥔳	士 冖 一 石 殳
𥔴	石 生 石
𥔵	石 ⺿ 幺 幺
𥔶	石 ⺷ 儿 厶
𥔷	石 广 廿 巾
𥔸	石 龷 八 ⺗
𥔹	石 一 自 夂
𥔺	石 爫 冖 支
𥔻	礻 日 丨 石
𥔼	士 冖 一 殳 石
𥔽	石 艹 亼 口
𥔾	石 艹 亡 {荒字底}
𥔿	石 爫 臼
𥕀	石 八 厶 羽
𥕁	石 文 耳
𥕂	石 冫 {飞无折} 人 ⺝
𥕃	石 厶 厶 厶 灬
𥕄	石 土 里
𥕅	石 穴 且
𥕆	石 禾 禾
𥕇	石 匚 山 囗 乂
𥕈	石 ⺁ 歹 辶
𥕉	石 厂 龷 日
𥕊	石 艹 大 廾
𥕋	石 {臼裂} 丨 又
𥕌	石 車 斤
𥕍	石 {婁字头} 口 丨 女
𥕎	石 广 {尹三} 氺
𥕏	石 囗 戈 口 一
𥕐	石 {立无横} 冂 古
𥕑	石 虍 且
𥕒	石 广 龷 日
𥕓	石 ⺿ 日 大
𥕔	石 欠 言
𥕕	石 虍 丿 丷 𬺰
𥕖	石 {高头} 子 阝
𥕗	卝 罒 冖 石
𥕘	石 巛 田 木
𥕙	石 丶 生 石
𥕚	石 火 火 ⺄ 十
𥕛	石 {其字头} {其字底} 土
𥕜	石 艹 宀 二 儿
𥕝	石 米 石
𥕞	石 音 十
𥕟	石 尸 雨
𥕠	石 厂 日 日 乚
𥕡	石 耳 卯
𥕢	石 一 曲 曰
𥕣	石 彳 日 一 寸
𥕤	石 ⺷ 皿
𥕥	石 匚 口 {双口：吕吅}
𥕦	石 衣 儿 口
𥕧	石 艹 冖 巾
𥕨	石 疋 虫
𥕩	石 ⺿ 乛 亠 龰
𥕪	石 ⺿ 夫 子
𥕫	石 ⺁ ⺊ 貝
𥕬	石 爫 𦈢
𥕭	{臼裂} 乂 乂 石
𥕮	石 亠 㐅 凵 禸
𥕯	石 宀 亻 一 白
𥕰	石 虍 {虛字底}
𥕱	石 壴 彡
𥕲	石 厂 䒑 {㪿三} 欠
𥕳	厂 䒑 {㪿三} 欠 石
𥕴	石 大 丷 日 小
𥕵	石 工 耳 攵
𥕶	石 {其字头} {其字底} 斤
𥕷	石 而 而
𥕸	石 曰 耳 又
𥕹	石 毛 毛 毛
𥕺	石 厶 厶 厶 人 ⺗
𥕻	石 𠂉 卌 一 灬
𥕼	石 亼 乛 酉
𥕽	壴 彡 石
𥕾	石 龷 㡀
𥕿	丿 米 田 石
𥖀	石 十 艹 貝
𥖁	石 丷 酉 寸
𥖂	石 {鹿字框} 乛 一 夂
𥖃	⺈ 用 冖 儿 女
𥖄	石 ⺷ 冫 欠
𥖅	石 ⻗ 云
𥖆	石 門 一 廾
𥖇	石 {尹三} 工 口 寸
𥖈	石 ⺿ ⺷ 几
𥖉	石 日 {高头} 小
𥖊	石 口 面
𥖋	石 止 止 止
𥖌	石 丿 人 人 人 人 土
𥖍	氵 束 刂 石
𥖎	木 乂 乂 木 石
𥖏	石 毌 貝
𥖐	石 阝 丷 豕
𥖑	尸 毛 石 皮
𥖒	石 忄 勹 日 子
𥖓	石 皮 口 丿 口
𥖔	石 木 戈 戈
𥖕	口 丿 口 石 皮
𥖖	石 皮 扌 巴
𥖗	壴 殳 石
𥖘	石 {其字头} {其字底} ㇗ 戈
𥖙	石 口 耳 戈
𥖚	石 穴 尸 屮 凵
𥖛	石 ⺿ 耂 日
𥖜	石 木 木 示
𥖝	石 广 䒑 {尹三} {变字头无亠}
𥖞	豸 艮 石
𥖟	石 ⻗ 亽 龴
𥖠	石 罒 勹 虫
𥖡	乡 白 匕 阝 石
𥖢	石 ⺿ 廿 ㇗ 木
𥖣	石 ⺿ 田 ⽱
𥖤	石 冎 口 辶
𥖥	木 夕 木 冖 石
𥖦	石 爫 冖 心 夂
𥖧	石 {华右角} 鳥
𥖨	石 口 {双口：吕吅} 木
𥖩	石 亼 囗 ⺌ 曰
𥖪	石 卝 隹 又
𥖫	壴 皮 石
𥖬	石 冫 馬 几
𥖭	石 齊
𥖮	石 羽 亠 人 人 十
𥖯	木 乂 乂 木 冖 石
𥖰	石 ⺿ 高
𥖱	石 山 髙
𥖲	石 士 乛 工 一 口 寸
𥖳	車 口 殳 石
𥖴	石 人 人 人 人 缶
𥖵	石 爫 工 彐 心
𥖶	石 宀 {眉框} 貝
𥖷	石 ⺈ 厂 {比左} 匕 士 口
𥖸	木 鬼 石
𥖹	金 冂 一 口 石
𥖺	石 皮 ⺷ 大
𥖻	石 {婁字头} 口 丨 女 攵
𥖼	石 虍 田 心
𥖽	石 宀 臼 勹 灬
𥖾	石 {立无横} 冂 古 辶
𥖿	石 士 罒 貝
𥗀	石 ⺿ 羽 人 彡
𥗁	石 ⺮ 耂 日
𥗂	石 麻 手
𥗃	石 厂 {双口：吕吅} 里
𥗄	石 匚 口 {双口：吕吅} 欠
𥗅	石 十 日 十 豆
𥗆	石 魚 日
𥗇	石 夫 夫 車
𥗈	石 木 木 足
𥗉	石 石 石 石
𥗊	石 齒
𥗋	石 日 龷 八 氺
𥗌	石 虍 豕 刂
𥗍	石 禾 {黎右角} 人 氺
𥗎	石 禾 尤 匕 日
𥗏	石 火 火 冖 王 丶
𥗐	石 石 石 石
𥗑	{臼裂} 冂 一 口 冖 石
𥗒	石 立 木 見
𥗓	石 束 刀 貝
𥗔	石 艹 氵 日 一 勹 𰀪
𥗕	石 廿 口 {北左} 匕 灬
𥗖	石 ⺮ 馬
𥗗	石 馬 衣
𥗘	石 木 木 木 手
𥗙	石 {臼裂} 乂 乂 冖 子
𥗚	士 {眉框} 殳 心 丿 石
𥗛	金 戈 戈 石
𥗜	石 {双口：吕吅} 田 十 戈
𥗝	石 衣 {双口：吕吅} 井 一
𥗞	石 火 火 冖 口 丿 口
𥗟	石 日 龷 八 言
𥗠	石 厂 ⺿ 田 ⽱ 力
𥗡	石 广 亻 隹 心
𥗢	石 业 ⺷ 冫 欠
𥗣	士 冖 豆 皮 石
𥗤	一 口 丨 冖 石 石 石
𥗥	石 ⺮ 罒 戊 丶
𥗦	石 金 千 里
𥗧	{亮头} 石 石 石
𥗨	石 艹 日 井 一 𧘇
𥗩	石 車 凵 殳 手
𥗪	石 ⺿ 一 田 一 田 一
𥗫	石 目 目 隹
𥗬	石 田 田 田 土
𥗭	石 亠 人 人 木 隹
𥗮	石 門 䒑 {㪿三} 欠
𥗯	石 亠 乡 隹 瓦
𥗰	石 {臼裂} 冂 又 辰
𥗱	亠 人 人 木 隹 石
𥗲	石 辟 石
𥗳	石 宀 各 頁
𥗴	石 罒 糹 隹
𥗵	石 {臼裂} 一 ㄅ 丨 {其字底} 石
𥗶	禾 日 鬼 石
𥗷	石 尸 工 工 工 工 𧘇
𥗸	石 {臼裂} 丿 冂 㐅 辰
𥗹	石 艹 魚 禾
𥗺	石 ⺿ 門 木 囗 丷
𥗻	石 {臼裂} 一 ㄅ 丨 {其字底} 言
𥗼	石 田 田 田 糸
𥗽	石 臣 {临右上} 罒 見
𥗾	石 一 口 丨 冖 {双口：吕吅} 井 一 𧘇
𥗿	石 山 罒 糹 隹
𥘀	石 日 宀 {双口：吕吅} 井 一 𧘇
𥘁	石 艹 罒 糹 隹
𥘂	石 言 糹 糹 攵
𥘃	石 ⻗ 口 {双口：吕吅} 工 人 人
𥘄	石 木 缶 木 冖 {𠚍心} 凵 匕 彡
𥘅	一 丨 儿
𥘆	礻 乙
𥘇	礻 匕
𥘈	{眞字头} 示
𥘉	礻 刀
𥘊	礻 丩
𥘋	礻 力
𥘌	礻 几
𥘍	礻 飞
𥘎	礻 彡
𥘏	礻 干
𥘐	ㅌ 示
𥘑	礻 寸
𥘒	礻 弋
𥘓	礻 又 丶
𥘔	礻 𬺰 丿
𥘕	礻 二 {乔字底}
𥘖	示 𧘇
𥘗	礻 日
𥘘	礻 ⺆ 亠
𥘙	礻 火
𥘚	礻 心
𥘛	礻 王
𥘜	礻 及
𥘝	礻 冂 㐅
𥘞	礻 亼 乛
𥘟	礻 云
𥘠	礻 龷
𥘡	礻 一 彑
𥘢	礻 一 幺
𥘣	止 示
𥘤	礻 小 丿
𥘥	礻 丿 廾
𥘦	示 攵
𥘧	礻 九 十
𥘨	礻 勹 𰀪
𥘩	礻 勹 冫
𥘪	礻 𠂉 十
𥘫	礻 可
𥘬	礻 弗
𥘭	礻 丶 王
𥘮	礻 句
𥘯	礻 一 木
𥘰	礻 㠯
𥘱	示 口 儿
𥘲	示 目
𥘳	礻 瓦
𥘴	礻 干 丷
𥘵	礻 日 一
𥘶	礻 乚 八 刀
𥘷	礻 小 丿 乚
𥘸	礻 立
𥘹	礻 匚 コ
𥘺	礻 一 止
𥘻	礻 不 一
𥘼	礻 人 彡
𥘽	示 丷 {举字底}
𥘾	大 丷 示
𥘿	{寿四} ㇏ 示
𥙀	礻 𠂇 工
𥙁	礻 𠂉 也
𥙂	礻 {丘无横} 一
𥙃	礻 白
𥙄	礻 人 小
𥙅	礻 亠 巾
𥙆	礻 亠 幺
𥙇	礻 宀 匕
𥙈	礻 巳 又
𥙉	礻 厶 口
𥙊	癶 示
𥙋	礻 屮 凵
𥙌	示 𢎨
𥙍	一 小 日 丨
𥙎	礻 ⺁ {旅右下}
𥙏	示 山 人 丨
𥙐	礻 ⺁ 一 口
𥙑	礻 光
𥙒	礻 土 厶 乚
𥙓	礻 日 丨 乚
𥙔	礻 宀 女
𥙕	礻 老
𥙖	礻 龷 八
𥙗	礻 大 口
𥙘	礻 西
𥙙	礻 口 巾
𥙚	礻 𠂉 斤
𥙛	礻 亻 王
𥙜	礻 亻 尤
𥙝	示 𠂒 儿
𥙞	礻 土 土
𥙟	礻 耳
𥙠	礻 一 {丘无横} 一
𥙡	礻 𠂉 ⺆ 亠
𥙢	礻 丿 㠯
𥙣	礻 勹 日
𥙤	礻 丶 巳 七
𥙥	礻 己 工
𥙦	女 口 示
𥙧	大 言 乚
𥙨	礻 几 木
𥙩	礻 乚 {以左} 人
𥙪	礻 乚 丷 {举字底}
𥙫	礻 酉
𥙬	礻 ⺌ ⺼
𥙭	礻 木 土
𥙮	礻 豕
𥙯	礻 乃 古
𥙰	礻 气 土
𥙱	礻 氏 口
𥙲	礻 水 土
𥙳	示 甫
𥙴	礻 一 日 {丈无一}
𥙵	礻 {免无儿} 儿
𥙶	礻 艹 干
𥙷	礻 甫
𥙸	礻 己 コ 匚
𥙹	礻 一 氺 丶
𥙺	礻 止 {步下}
𥙻	礻 冖 人 口
𥙼	示 土 {亦字底}
𥙽	礻 一 人 人 十
𥙾	礻 禾 乃
𥙿	礻 谷
𥚀	礻 爫 子
𥚁	礻 乃 古
𥚂	礻 厶 八 夂
𥚃	礻 里
𥚄	礻 乚 一 口 {丈无一}
𥚅	礻 耳 乚
𥚆	礻 刀 丶 心
𥚇	礻 舌 乚
𥚈	礻 田 丌
𥚉	礻 巛 田
𥚊	礻 土 八 土
𥚋	屮 凵 示 一 儿
𥚌	示 田 木
𥚍	礻 尸 句
𥚎	礻 宀 示
𥚏	礻 广 {尹三} 人
𥚐	礻 心 丿 土
𥚑	礻 尸 古
𥚒	礻 木 人 人
𥚓	礻 大 丷 二 ㄅ
𥚔	礻 ⺊ 一 小 又
𥚕	礻 日 曰
𥚖	礻 爫 木
𥚗	礻 侖
𥚘	䒑 {㪿三} 刂 示
𥚙	礻 大 十 廾
𥚚	礻 虎
𥚛	礻 日 {比左} 匕
𥚜	礻 日 一 弓
𥚝	礻 口 乚 ⺝
𥚞	礻 臼 丨
𥚟	礻 丿 冂 古
𥚠	礻 {高头} 子
𥚡	火 火 示
𥚢	屮 凵 宀 示
𥚣	礻 乃 土 口
𥚤	礻 乚 人 禾
𥚥	礻 乚 禾 刂
𥚦	礻 ⺈ 厂 矢
𥚧	礻 壴
𥚨	礻 𠂇 工 ⺝
𥚩	礻 疋 ⺼
𥚪	齐 示
𥚫	礻 亼 口 廾
𥚬	礻 勹 𦈢
𥚭	礻 冫 欠 口
𥚮	礻 {其字头} {其字底} ㇗
𥚯	礻 乚 日 勹 𰀪
𥚰	礻 宀 各
𥚱	礻 音
𥚲	礻 束 刂
𥚳	礻 不 冂 土
𥚴	礻 頁
𥚵	礻 {眉框} 目
𥚶	礻 口 耳
𥚷	礻 田 ⺼
𥚸	礻 田 一 {畏下无横}
𥚹	礻 戶 𠕁
𥚺	礻 {比左} 匕 白
𥚻	礻 山 而
𥚼	礻 冂 人 王 丶
𥚽	礻 丿 冂 古 一
𥚾	礻 㐅 凵 八 夂
𥚿	礻 丷 夫 女
𥛀	礻 {尹三} 冖 八 又
𥛁	屮 凵 示 巴
𥛂	礻 𠂇 口 ⺝
𥛃	礻 ㅌ 丨 厂 彐
𥛄	礻 十 目 一 丿
𥛅	礻 卯 田
𥛆	礻 {尹三} 冖 巾 又
𥛇	礻 弓 工 工
𥛈	礻 己 工 工
𥛉	礻 乚 {拜左} 一 丰
𥛊	礻 戶 羽
𥛋	礻 又 又 又 木
𥛌	礻 工 貝
𥛍	礻 口 貝
𥛎	礻 爫 幺 大
𥛏	礻 𠂉 {其字头} {其字底}
𥛐	礻 土 厶 皿
𥛑	礻 辰 寸
𥛒	礻 𠂇 口 冂 口
𥛓	⺊ 一 示 人 示
𥛔	礻 {𡻋右}
𥛕	礻 ⺁ 虍 人
𥛖	示 身 寸
𥛗	礻 爫 臼
𥛘	礻 田 艹 {举字底}
𥛙	礻 𠂉 日 一 勹 𰀪
𥛚	礻 {立无横} 冂 古
𥛛	冖 西 土 示
𥛜	礻 虍 且
𥛝	礻 夂 丰 辶
𥛞	礻 {鹿旁}
𥛟	礻 爫 見
𥛠	一 小 勹 日 日 一
𥛡	礻 ⺊ {卥字底} 土
𥛢	礻 山 宀 示
𥛣	礻 艹 冖 巾
𥛤	{眞字头} 示 刀 貝
𥛥	礻 一 日 {虫无口} 寸
𥛦	礻 覀 示
𥛧	礻 田 糸
𥛨	礻 彳 止 龰
𥛩	礻 广 臼 人
𥛪	礻 {鹿字框} 厶 厶
𥛫	礻 氵 刀 八 木
𥛬	⺊ 一 示 又 米
𥛭	礻 乚 隹 又
𥛮	礻 丿 米 田
𥛯	礻 予 丿 冂 八 口
𥛰	礻 大 丷 日 小
𥛱	壴 彡 示
𥛲	礻 隹 灬
𥛳	礻 虍 {虛字底}
𥛴	一 小 田 ⺿ {其字底}
𥛵	礻 龷 艹 {举字底}
𥛶	礻 羊 䒑 口
𥛷	礻 米 夕 㐄
𥛸	礻 一 日 {虫无口} 心
𥛹	礻 尸 氺 牛
𥛺	礻 匕 十 目 {其字底}
𥛻	礻 壴 彡
𥛼	礻 艹 日 曰
𥛽	礻 {𡋲字头} 田
𥛾	礻 人 人 人 人 日
𥛿	礻 弓 {卥字底} 土
𥜀	尸 毛 礻 且
𥜁	礻 耳 䒑 大
𥜂	{眞字头} 示 一 自 夂
𥜃	礻 罒 土 {南心}
𥜄	糹 弓 攵 示
𥜅	礻 虍 豕
𥜆	覀 示 {弃字头} {荒字底}
𥜇	礻 音 心
𥜈	礻 ⺿ 廿 ㇗ 木
𥜉	礻 {尹三} 丿 口 羊
𥜊	礻 丿 冂 丿 米 二 ㄅ
𥜋	礻 僉
𥜌	礻 丿 冂 丿 米 大
𥜍	礻 艹 田 ⽱
𥜎	礻 土 人 人 囗 口
𥜏	礻 日 冖 夕 灬
𥜐	礻 黽
𥜑	礻 土 口 又 田
𥜒	礻 厂 日 ⺼ 犬
𥜓	礻 臣 𠂉 一 皿
𥜔	礻 羽 隹
𥜕	礻 束 束
𥜖	束 厶 矢 示
𥜗	礻 ⻗ 而
𥜘	亠 囗 口 示
𥜙	氵 車 斤 示
𥜚	礻 {㥑字头} 心 夂
𥜛	米 示 頁
𥜜	礻 虍 田 心
𥜝	礻 士 口 頁
𥜞	覀 示 臼 丨 一 ㄅ
𥜟	示 广 黃
𥜠	示 虍 田 皿
𥜡	礻 ⺈ 小 王 里
𥜢	礻 广 幺 幺 {尹三} 丿 口
𥜣	示 耂 弓 工 工 口
𥜤	礻 乚 貝 戈 戈
𥜥	礻 {北左} 匕 田 龷 八
𥜦	示 一 {䕥下} 土
𥜧	示 ⻗ 口 {双口：吕吅}
𥜨	礻 丰 丰 凵 豆
𥜩	示 日 曰 ⺁ 十 目
𥜪	礻 山 丰 丰 豆
𥜫	礻 亻 口 {双口：吕吅} 囗 女
𥜬	礻 一 {䕥下} 王
𥜭	礻 {高头} 日
𥜮	礻 鹿 {尹三} 丿 口
𥜯	示 ⺊ 𱕻 日 子
𥜰	礻 一 {丽右角} 一 {丽右角} {鹿旁}
𥜱	屮 凵 示 {眞字头} 目 ㇗ 八 夂
𥜲	礻 卝 巾 糸 虫
𥜳	礻 木 乂 乂 木 大 手
𥜴	礻 宀 井 {其字底} 馬
𥜵	礻 目 目 隹 又
𥜶	礻 䒑 自 止 巳 八 夂
𥜷	厶 厶 厶 丿 示 丨 {眞字头} 目 ㇗ 八 夂
𥜸	示 ⺊ 𱕻 日 口 凵 亅
𥜹	己 工 工 示 {眞字头} 目 ㇗ 八 夂
𥜺	山 宀 示 羽 人 隹
𥜻	丿 ⽱
𥜼	人 丷 禸
𥜽	⺊ 冂 乂 禸
𥜾	⺊ 一 㐅 凵 ⽱
𥜿	巛 田 ⽱
𥝀	丿 口 ⽱ 也
𥝁	巛 囗 乂 ⽱
𥝂	田 ⽱ 厂 ⺋
𥝃	弗 田 ⽱
𥝄	艹 囗 乂 ⽱
𥝅	臼 囗 乂 禸
𥝆	日 臼 ⽱
𥝇	{臼裂} 田 ⽱
𥝈	{臼裂} 丿 龱 禸
𥝉	田 ⽱ 田 ⽱
𥝊	{臼裂} 乂 乂 冖 丿 口 ⽱
𥝋	{臼裂} {臼裂} 丿 龱 禸
𥝌	禾
𥝍	禾 一
𥝎	禾 乙
𥝏	禾 乚
𥝐	禾 又
𥝑	禾 一 ㄅ
𥝒	禾 卜
𥝓	禾 {眞字头}
𥝔	禾 了 ㇀
𥝕	禾 亡
𥝖	禾 𠂉 乙
𥝗	禾 已
𥝘	禾 夕
𥝙	禾 弓
𥝚	禾 大
𥝛	禾 大
𥝜	禾 二 ㄅ
𥝝	禾 干
𥝞	禾 彡
𥝟	禾 土
𥝠	禾 丿 厶
𥝡	禾 ⺄ 十
𥝢	禾 {黎右角}
𥝣	禾 不
𥝤	禾 勹 𰀪
𥝥	禾 及
𥝦	禾 ヿ 土
𥝧	禾 巴
𥝨	禾 人 ゛
𥝩	爫 禾
𥝪	禾 旡
𥝫	禾 牛
𥝬	禾 气
𥝭	禾 {候右角} 人
𥝮	禾 一 幺
𥝯	禾 一 廾
𥝰	禾 木
𥝱	禾 予
𥝲	禾 厶 儿
𥝳	禾 ⺆ 亠
𥝴	禾 冖 儿
𥝵	禾 人 {乔字底}
𥝶	禾 八 厶
𥝷	禾 井
𥝸	禾 水
𥝹	禾 斤
𥝺	禾 人 十
𥝻	禾 殳
𥝼	禾 弓 丨
𥝽	禾 一 ⺊ ㄅ
𥝾	禾 厂 丿 七
𥝿	禾 力 口
𥞀	禾 𠂉 也
𥞁	禾 日 丨
𥞂	禾 亻 寸
𥞃	禾 屮 凵
𥞄	禾 片
𥞅	禾 止 匕
𥞆	禾 示
𥞇	禾 九 山
𥞈	禾 甘
𥞉	禾 丿 丷 丁
𥞊	禾 未
𥞋	禾 土 厶
𥞌	禾 甘
𥞍	禾 可
𥞎	禾 𠂇 巾
𥞏	禾 口 儿
𥞐	禾 㠯
𥞑	禾 亠 巾
𥞒	禾 宀 匕
𥞓	禾 尸 二
𥞔	禾 民
𥞕	禾 屮 儿
𥞖	禾 用
𥞗	禾 大 冂
𥞘	禾 𠂇 丨 子
𥞙	禾 亾 {荒字底}
𥞚	禾 女 口
𥞛	禾 几 木
𥞜	禾 夂 㐄
𥞝	禾 㐅 凵 儿
𥞞	禾 亠 日
𥞟	禾 氵 亍
𥞠	禾 老
𥞡	禾 口 巾
𥞢	禾 夕 㐄
𥞣	工 口 禾
𥞤	士 冖 一 禾
𥞥	歹 刂 禾
𥞦	禾 夫 丷
𥞧	禾 行
𥞨	禾 亥
𥞩	禾 䒑 廾
𥞪	禾 米
𥞫	禾 米
𥞬	禾 宀 女
𥞭	禾 尸 工
𥞮	禾 刀 刀 刀
𥞯	禾 丶 干 丷
𥞰	禾 聿
𥞱	工 阝 禾
𥞲	禾 口 刀 刂
𥞳	禾 十 冖 子
𥞴	禾 𠂒 口
𥞵	禾 大 人 人
𥞶	禾 不 口
𥞷	禾 田 儿
𥞸	禾 氏 口
𥞹	氵 刀 八 禾
𥞺	禾 足
𥞻	禾 㡀
𥞼	禾 夂 月
𥞽	禾 辛
𥞾	禾 彐 水
𥞿	禾 刂 亠 巾
𥟀	禾 龶 夂
𥟁	禾 酉
𥟂	禾 未 丷
𥟃	{虎字框} 口 禾
𥟄	禾 田 乃
𥟅	禾 臼
𥟆	禾 {立无横} 子
𥟇	禾 一 氺 丶
𥟈	禾 束
𥟉	禾 禾 几
𥟊	禾 五 口
𥟋	禾 {弃字头} 廾
𥟌	禾 艹 几 丶
𥟍	禾 非
𥟎	禾 丷 夫 力
𥟏	禾 大 可
𥟐	禾 宀 疋
𥟑	禾 田 丿 十
𥟒	禾 又 又 又 又
𥟓	禾 宀 㠯
𥟔	禾 日 ㄅ 大
𥟕	禾 ⺿ 欠
𥟖	禾 {黎右角} 人 小
𥟗	禾 田 丌
𥟘	禾 日 勹 𰀪
𥟙	日 乛 彡 禾
𥟚	禾 心 丿 土
𥟛	禾 㐅 凵 𠂇 又
𥟜	巛 夕 刂 禾
𥟝	禾 爫 二 {乔字底}
𥟞	禾 爫 乛 丌
𥟟	日 一 彡 禾
𥟠	禾 {比左} 匕 日
𥟡	禾 宀 示
𥟢	禾 火 火
𥟣	禾 立 女
𥟤	禾 {尹三} 氺
𥟥	禾 戈 戈
𥟦	禾 刂 人 ⺗
𥟧	禾 ⺊ 一 小 又
𥟨	禾 金
𥟩	禾 爫 木
𥟪	禾 艹 毛
𥟫	⺊ {𠧧字底} 禾
𥟬	禾 小 用
𥟭	禾 目 {其字底}
𥟮	禾 口 乚 ⺝
𥟯	禾 丿 乚 土 土
𥟰	禾 千 人 人 一
𥟱	禾 禾 {尹三}
𥟲	彳 木 丶 禾
𥟳	禾 爫 一 寸
𥟴	禾 氏 日
𥟵	禾 九 亠 日
𥟶	禾 宀 夕 ⺋
𥟷	禾 ヿ 土 ヿ 土
𥟸	巛 月 刂 禾
𥟹	禾 几 一 口 {丈无一}
𥟺	禾 几 而
