⺀⺀	丶 丶
㓽㓽	山 宀 示 刂
㓾㓾	尸 氺 牛 刂
㓿㓿	禾 人 氺 刂
㔀㔀	日 {高头} 小 刂
㔁㔁	癶 豆 刂
㔂㔂	米 夕 㐄 刂
㔃㔃	糹 ⺈ 巴 刀
㔄㔄	覀 米 刂
㔅㔅	肀 片 爿 一 刂
㔆㔆	旡 旡 曰 刂
㔇㔇	癶 弓 殳 刂
㔈㔈	艹 非 刂
㔉㔉	尸 丿 口 ⽱ 刂
㔊㔊	亠 囗 口 日 一 刂
㔋㔋	臣 {临右上} 皿 刂
㔌㔌	耳 又 丿 {乑字底} 刂
㔍㔍	⺮ 目 廾 刂
㔎㔎	{㪿三} 丿 㠯 辛 刀
㔏㔏	石 石 石 刂
㔐㔐	⺮ 一 非 一 刂
㔑㔑	艹 丿 㠯 辛 刀
㔒㔒	山 隹 冂 八 口 刂
㔓㔓	千 力
㔔㔔	力 口 〇
㔕㔕	气 力
㔖㔖	力 口 ヿ
㔗㔗	弗 力
㔘㔘	屮 凵 力
㔙㔙	䒑 廾 力
㔚㔚	舌 力
㔛㔛	士 口 力
㔜㔜	爫 子 力
㔝㔝	一 冂 丨 入 入 力
㔞㔞	千 {北左} 匕 力
㔟㔟	生 丸 力
㔠㔠	曰 勹 亾 力
㔡㔡	丿 龱 {比左} 匕 力
㔢㔢	糹 ⺈ 巴 力
㔣㔣	田 田 田 力
㔤㔤	宀 丿 米 田 力
㔥㔥	罒 厶 ⺝ {比左} 匕 力
㔦㔦	⺶ ㇏ 丶 艮 力
㔧㔧	虍 田 皿 力
㔨㔨	勹 {北左} 匕 ⺝
㔩㔩	勹 土 厶 皿
㔪㔪	勹 ⺊ 𱕻
㔫㔫	𠂇 匕
㔬㔬	匕 日 十
㔭㔭	{眞字头} 日 疋
㔮㔮	廿 口 夫 厶 ⺝ {比左} 匕
㔯㔯	匚 几 口
㔰㔰	匚 夕 卜
㔱㔱	匚 臼 人
㔲㔲	匚 飠 九
㔳㔳	匚 飠 几
㔴㔴	匚 田 龷 八
㔵㔵	匚 巳 巳 龷 八
㔶㔶	匚 音 十 夂 工 貝
㔷㔷	匚 一 冂 人
㔸㔸	匚 ⺁ 虎
㔹㔹	十 力
㔺㔺	十 七 十
㔻㔻	不 十
㔼㔼	扌 隹 十
㔽㔽	⺊ 囗 口
㔾㔾	卩
㔿㔿	一 丩
㕀㕀	由 ⺋
㕁㕁	㐅 𠂇 厶 卩
㕂㕂	厂 亽 ヿ
㕃㕃	厂 一 廾
㕄㕄	厂 一 幺
㕅㕅	厂 甲
㕆㕆	厂 古
㕇㕇	厂 立
㕈㕈	厂 衣
㕉㕉	厂 亼 口
㕊㕊	厂 甫
㕋㕋	厂 金
㕌㕌	厂 日 一 寸
㕍㕍	厂 隹
㕎㕎	厂 土 厶 皿
㕏㕏	厂 豆 斗
㕐㕐	厂 臼 勹 灬
㕑㕑	厂 壴 寸
㕒㕒	厂 ⺷ 丿 扌 戈
㕓㕓	厂 黑 土
㕔㕔	厂 耳 王 十 罒 一 心
㕕㕕	厶 厶
㕖㕖	厶 厶 厶 木
㕗㕗	⺷ ⺈ ㇏ 厶
㕘㕘	厶 厶 厶 人 小
㕙㕙	厶 八 夂 兔
㕚㕚	又 丶 丶
㕛㕛	又 又
㕜㕜	口 丨 又
㕝㕝	古 又
㕞㕞	尸 巾 又
㕟㕟	⺊ 𠕁 又
㕠㕠	冫 隹 又
㕡㕡	{睿字头} 谷 又
㕢㕢	{睿字头} 貝 又
㕣㕣	八 口
㕤㕤	口 九
㕥㕥	口 人
㕦㕦	口 大
㕧㕧	口 尸
㕨㕨	口 几 丶
㕩㕩	口 丰
㕪㕪	口 冖 儿
㕫㕫	口 方
㕬㕬	口 八 厶
㕭㕭	口 丿 大
㕮㕮	口 八 乂
㕯㕯	冂 人 口
㕰㕰	口 毛
㕱㕱	口 尤
㕲㕲	口 木
㕳㕳	口 㐅 凵
㕴㕴	口 冖 几
㕵㕵	口 王
㕶㕶	口 五
㕷㕷	口 白
㕸㕸	口 立
㕹㕹	口 𠂇 又 丶
㕺㕺	{双口：吕吅} 一 ㄅ
㕻㕻	丶 不 口
㕼㕼	口 勹 乂 ㇗
㕽㕽	口 {以左} 人
